"variable","regionnumber","year","value"
"JOBSI0R","1","1990",29560.2497082662
"JOBSI0R","2","1990",153231.745246123
"JOBSI0R","3","1990",1128624.45343803
"JOBSI0R","4","1990",214537.792747412
"JOBSI0R","5","1990",9723.12383835881
"JOBSI0R","6","1990",20247.4142880402
"JOBSI0R","7","1990",50927.2971092343
"JOBSI0R","8","1990",16481.9127301315
"JOBSI0R","9","1990",28983.3436111294
"JOBSI0R","10","1990",29114.7755346613
"JOBSI0R","11","1990",78789.4067796661
"JOBSI0R","12","1990",52614.1292285148
"JOBSI0R","13","1990",19241.3221878357
"JOBSI0R","14","1990",6758.11470588069
"JOBSI0R","1","1991",29297.646177997
"JOBSI0R","2","1991",159145.529106656
"JOBSI0R","3","1991",1153180.82839939
"JOBSI0R","4","1991",219760.530413789
"JOBSI0R","5","1991",9811.07816591726
"JOBSI0R","6","1991",20046.3690162395
"JOBSI0R","7","1991",50722.0901350128
"JOBSI0R","8","1991",16642.3735894231
"JOBSI0R","9","1991",30178.6372263942
"JOBSI0R","10","1991",29842.8095578137
"JOBSI0R","11","1991",80536.8817504382
"JOBSI0R","12","1991",53463.2225695046
"JOBSI0R","13","1991",19675.0163518404
"JOBSI0R","14","1991",6738.99944901659
"JOBSI0R","1","1992",29349.2248831619
"JOBSI0R","2","1992",163892.121548924
"JOBSI0R","3","1992",1179893.28131701
"JOBSI0R","4","1992",228903.339222371
"JOBSI0R","5","1992",9995.31036973841
"JOBSI0R","6","1992",20033.730039738
"JOBSI0R","7","1992",51217.2117962802
"JOBSI0R","8","1992",16692.9797182423
"JOBSI0R","9","1992",31513.3584056327
"JOBSI0R","10","1992",31636.6131624959
"JOBSI0R","11","1992",81945.7829955782
"JOBSI0R","12","1992",55638.8996859651
"JOBSI0R","13","1992",20512.5451371947
"JOBSI0R","14","1992",6755.44045229188
"JOBSI0R","1","1993",30771.4440881127
"JOBSI0R","2","1993",174564.56201463
"JOBSI0R","3","1993",1230382.48329497
"JOBSI0R","4","1993",239581.921686199
