"variable","regionnumber","year","value"
"JOBSI0R","2","1999",229446.049428798
"JOBSI0R","3","1999",1554941.91746054
"JOBSI0R","4","1999",312404.512892135
"JOBSI0R","5","1999",14171.2281036991
"JOBSI0R","6","1999",24020.5131348005
"JOBSI0R","7","1999",66003.5762799002
"JOBSI0R","8","1999",21030.1987972151
"JOBSI0R","9","1999",44550.468780647
"JOBSI0R","10","1999",45537.9996290502
"JOBSI0R","11","1999",112408.443651537
"JOBSI0R","12","1999",83527.7108998584
"JOBSI0R","13","1999",28783.3703450348
"JOBSI0R","14","1999",9593.41552148931
"JOBSI0R","1","2000",37197.7554433599
"JOBSI0R","2","2000",247842.768286423
"JOBSI0R","3","2000",1643902.45821828
"JOBSI0R","4","2000",328059.380567416
"JOBSI0R","5","2000",14839.6203260008
"JOBSI0R","6","2000",23455.4315962096
"JOBSI0R","7","2000",66332.0193364074
"JOBSI0R","8","2000",21886.3679684913
"JOBSI0R","9","2000",46198.0734105532
"JOBSI0R","10","2000",48275.9731602513
"JOBSI0R","11","2000",119763.075195149
"JOBSI0R","12","2000",88341.450486279
"JOBSI0R","13","2000",30180.719591122
"JOBSI0R","14","2000",10107.2421404364
"JOBSI0R","1","2001",37420.2037825085
"JOBSI0R","2","2001",246231.078696069
"JOBSI0R","3","2001",1629246.06418813
"JOBSI0R","4","2001",325244.894264884
"JOBSI0R","5","2001",14953.871298854
"JOBSI0R","6","2001",23501.8853024913
"JOBSI0R","7","2001",66059.0467207372
"JOBSI0R","8","2001",22058.2809750958
"JOBSI0R","9","2001",46317.4482174819
"JOBSI0R","10","2001",48332.068521023
"JOBSI0R","11","2001",119742.127934761
"JOBSI0R","12","2001",87819.2075312657
"JOBSI0R","13","2001",30165.0010109317
"JOBSI0R","14","2001",10188.5908415736
"JOBSI0R","1","2002",37032
"JOBSI0R","2","2002",247846.643051771
"JOBSI0R","3","2002",1601130.48608775
"JOBSI0R","4","2002",322890.68
"JOBSI0R","5","2002",15271.8148148148
"JOBSI0R","6","2002",22975
"JOBSI0R","7","2002",65837.4931506849
"JOBSI0R","8","2002",22206
"JOBSI0R","9","2002",47083.2923076923
"JOBSI0R","10","2002",48465.3333333333
"JOBSI0R","11","2002",119684.538275194
"JOBSI0R","12","2002",86111.6321510297
"JOBSI0R","13","2002",30032
"JOBSI0R","14","2002",10503
"JOBSI0R","1","2003",37654.289926521
"JOBSI0R","2","2003",250254.290095365
"JOBSI0R","3","2003",1584275.62593946
"JOBSI0R","4","2003",323219.461509191
"JOBSI0R","5","2003",15511.9878082359
"JOBSI0R","6","2003",22903.725177188
"JOBSI0R","7","2003",65971.8689389485
"JOBSI0R","8","2003",22957.708996796
"JOBSI0R","9","2003",47843.0056784285
"JOBSI0R","10","2003",49379.756397675
"JOBSI0R","11","2003",121617.604198298
"JOBSI0R","12","2003",85228.36780705
"JOBSI0R","13","2003",30009.626409319
"JOBSI0R","14","2003",10381.2572646312
"JOBSI0R","1","2004",36862.4513415096
"JOBSI0R","2","2004",256385.934654204
"JOBSI0R","3","2004",1604704.34611977
"JOBSI0R","4","2004",328568.603014046
"JOBSI0R","5","2004",15331.3729621664
"JOBSI0R","6","2004",22539.6043571817
"JOBSI0R","7","2004",65669.1953817146
"JOBSI0R","8","2004",22741.0119767269
"JOBSI0R","9","2004",49219.0707187078
"JOBSI0R","10","2004",50935.3441125696
"JOBSI0R","11","2004",125134.055893964
"JOBSI0R","12","2004",86762.8360025319
"JOBSI0R","13","2004",30387.4729419319
"JOBSI0R","14","2004",10413.5108692321
"JOBSI0R","1","2005",37328.4599295368
"JOBSI0R","2","2005",263276.168035019
"JOBSI0R","3","2005",1639609.20094926
"JOBSI0R","4","2005",338647.238705973
"JOBSI0R","5","2005",15720.811750811
"JOBSI0R","6","2005",22312.9890676042
"JOBSI0R","7","2005",66488.0927847333
"JOBSI0R","8","2005",22785.9640835538
"JOBSI0R","9","2005",50966.6364128588
"JOBSI0R","10","2005",52963.9854779856
"JOBSI0R","11","2005",130834.864232105
"JOBSI0R","12","2005",89863.4160370488
"JOBSI0R","13","2005",30811.0306166835
"JOBSI0R","14","2005",10554.3732649945
"JOBSI0R","1","2006",37222.5845611013
"JOBSI0R","2","2006",271015.709990773
"JOBSI0R","3","2006",1669134.09973799
"JOBSI0R","4","2006",343401.757709786
"JOBSI0R","5","2006",15730.214873114
"JOBSI0R","6","2006",21709.9526828278
"JOBSI0R","7","2006",67933.5763918664
"JOBSI0R","8","2006",22841.3535778093
"JOBSI0R","9","2006",52903.8261437596
"JOBSI0R","10","2006",54985.0806713802
"JOBSI0R","11","2006",137533.618698765
"JOBSI0R","12","2006",93474.2427782472
"JOBSI0R","13","2006",31311.7832006026
"JOBSI0R","14","2006",10910.865504859
"JOBSI0R","1","2007",37175.0407044763
"JOBSI0R","2","2007",277383.098707765
"JOBSI0R","3","2007",1707973.17243727
"JOBSI0R","4","2007",345863.060744371
"JOBSI0R","5","2007",15507.4369214062
"JOBSI0R","6","2007",21522.5818074114
"JOBSI0R","7","2007",69918.3625740229
"JOBSI0R","8","2007",22763.3230900062
"JOBSI0R","9","2007",54262.4237304811
"JOBSI0R","10","2007",56776.4807943596
"JOBSI0R","11","2007",146108.303699801
"JOBSI0R","12","2007",96419.5109741267
"JOBSI0R","13","2007",31751.8790310485
"JOBSI0R","14","2007",11092.0622923607
"JOBSI0R","1","2008",37377.6678745543
"JOBSI0R","2","2008",280412.591890009
"JOBSI0R","3","2008",1728805.81828227
"JOBSI0R","4","2008",348088.126039988
"JOBSI0R","5","2008",15602.4745740094
"JOBSI0R","6","2008",21569.7135530012
"JOBSI0R","7","2008",70452.1931392038
"JOBSI0R","8","2008",22913.6344219492
"JOBSI0R","9","2008",54200.1910114347
"JOBSI0R","10","2008",56598.894109159
"JOBSI0R","11","2008",150756.582937183
"JOBSI0R","12","2008",97375.2016818792
"JOBSI0R","13","2008",32024.6031439854
"JOBSI0R","14","2008",11327.7590142766
"JOBSI0R","1","2009",37062.3357491085
"JOBSI0R","2","2009",271126.183780018
"JOBSI0R","3","2009",1660921.63656454
"JOBSI0R","4","2009",339038.252079975
"JOBSI0R","5","2009",15107.9491480189
"JOBSI0R","6","2009",21212.4271060024
"JOBSI0R","7","2009",68533.3862784075
"JOBSI0R","8","2009",22633.2688438984
"JOBSI0R","9","2009",51627.3820228695
"JOBSI0R","10","2009",53411.7882183181
"JOBSI0R","11","2009",140379.165874366
"JOBSI0R","12","2009",90091.4033637585
"JOBSI0R","13","2009",30694.2062879709
"JOBSI0R","14","2009",10459.5180285531
"JOBSI0R","1","2010",36491.0036236628
"JOBSI0R","2","2010",270702.775670028
"JOBSI0R","3","2010",1651716.4548468
"JOBSI0R","4","2010",339916.378119963
"JOBSI0R","5","2010",14945.4237220283
"JOBSI0R","6","2010",20858.1406590036
"JOBSI0R","7","2010",68473.5794176113
"JOBSI0R","8","2010",22474.9032658475
"JOBSI0R","9","2010",50211.5730343042
"JOBSI0R","10","2010",51386.6823274771
"JOBSI0R","11","2010",133102.748811548
"JOBSI0R","12","2010",86798.6050456377
"JOBSI0R","13","2010",30113.8094319563
"JOBSI0R","14","2010",9880.27704282968
"JOBSI0R","1","2011",37583.671498217
"JOBSI0R","2","2011",277686.367560037
"JOBSI0R","3","2011",1683702.27312907
"JOBSI0R","4","2011",344645.50415995
"JOBSI0R","5","2011",15110.8982960378
"JOBSI0R","6","2011",21123.8542120048
"JOBSI0R","7","2011",69477.7725568151
"JOBSI0R","8","2011",22496.5376877967
"JOBSI0R","9","2011",50329.7640457389
"JOBSI0R","10","2011",51096.5764366361
"JOBSI0R","11","2011",134108.331748731
"JOBSI0R","12","2011",87492.8067275169
"JOBSI0R","13","2011",30425.4125759417
"JOBSI0R","14","2011",9898.03605710625
"JOBSI0R","1","2012",37365.3393727713
"JOBSI0R","2","2012",286159.959450046
"JOBSI0R","3","2012",1730946.09141134
"JOBSI0R","4","2012",346117.630199938
"JOBSI0R","5","2012",15039.3728700472
"JOBSI0R","6","2012",20205.567765006
"JOBSI0R","7","2012",69237.9656960188
"JOBSI0R","8","2012",22392.1721097459
"JOBSI0R","9","2012",50607.9550571737
"JOBSI0R","10","2012",50890.4705457952
"JOBSI0R","11","2012",135382.914685914
"JOBSI0R","12","2012",88511.0084093962
"JOBSI0R","13","2012",30357.0157199272
"JOBSI0R","14","2012",9725.79507138281
"JOBSI0R","1","2013",37539.72496851
"JOBSI0R","2","2013",296414.405359905
"JOBSI0R","3","2013",1786016.98053251
"JOBSI0R","4","2013",352117.322342076
"JOBSI0R","5","2013",15499.3208974708
"JOBSI0R","6","2013",20150.4263921845
"JOBSI0R","7","2013",69158.3813970385
"JOBSI0R","8","2013",22284.5001103923
"JOBSI0R","9","2013",51925.3864993315
"JOBSI0R","10","2013",51224.6570926018
"JOBSI0R","11","2013",136786.845673028
"JOBSI0R","12","2013",90422.9518631584
"JOBSI0R","13","2013",30332.7970375875
"JOBSI0R","14","2013",9549.2641035155
"JOBSI0R","1","2014",38437.5583018433
"JOBSI0R","2","2014",310855.488693238
"JOBSI0R","3","2014",1852109.81386585
"JOBSI0R","4","2014",362233.655675409
"JOBSI0R","5","2014",15746.0708974708
"JOBSI0R","6","2014",19767.7597255178
"JOBSI0R","7","2014",70116.1313970385
"JOBSI0R","8","2014",22226.916777059
"JOBSI0R","9","2014",52931.8031659981
"JOBSI0R","10","2014",51616.4904259352
"JOBSI0R","11","2014",138583.429006361
"JOBSI0R","12","2014",93769.2851964917
"JOBSI0R","13","2014",30636.6303709209
"JOBSI0R","14","2014",9363.43077018216
"JOBSI0R","1","2015",38333.23
"JOBSI0R","2","2015",321707.7
"JOBSI0R","3","2015",1922790
"JOBSI0R","4","2015",369011.6
"JOBSI0R","5","2015",15834.02
"JOBSI0R","6","2015",19855.69
"JOBSI0R","7","2015",71507.7
"JOBSI0R","8","2015",22603.76
"JOBSI0R","9","2015",53809.85
"JOBSI0R","10","2015",52969
"JOBSI0R","11","2015",139528.3
"JOBSI0R","12","2015",96094
"JOBSI0R","13","2015",31710.38
"JOBSI0R","14","2015",9229.513
"JOBSI0R","1","2016",38241.48
"JOBSI0R","2","2016",325282
"JOBSI0R","3","2016",1972965
"JOBSI0R","4","2016",380428.2
"JOBSI0R","5","2016",16039.22
"JOBSI0R","6","2016",19908.94
"JOBSI0R","7","2016",72581.24
"JOBSI0R","8","2016",22949.55
"JOBSI0R","9","2016",54156.37
"JOBSI0R","10","2016",53605.69
"JOBSI0R","11","2016",139199.3
"JOBSI0R","12","2016",99434.09
"JOBSI0R","13","2016",32399.2
"JOBSI0R","14","2016",9165.501
"JOBSI0R","1","2017",38234.63
"JOBSI0R","2","2017",330328.6
"JOBSI0R","3","2017",2013735
"JOBSI0R","4","2017",388206.4
"JOBSI0R","5","2017",16508.41
"JOBSI0R","6","2017",20052.41
"JOBSI0R","7","2017",73574.62
"JOBSI0R","8","2017",23275.02
"JOBSI0R","9","2017",55232.42
"JOBSI0R","10","2017",54513.63
"JOBSI0R","11","2017",140561.6
"JOBSI0R","12","2017",102170.6
"JOBSI0R","13","2017",33077.17
"JOBSI0R","14","2017",9201.15
"JOBSI0R","1","2018",38253.49
"JOBSI0R","2","2018",335548.7
"JOBSI0R","3","2018",2052092
"JOBSI0R","4","2018",395878.9
"JOBSI0R","5","2018",17120.61
"JOBSI0R","6","2018",20115.15
"JOBSI0R","7","2018",74758.99
"JOBSI0R","8","2018",23559.01
"JOBSI0R","9","2018",56464.27
"JOBSI0R","10","2018",55435.16
"JOBSI0R","11","2018",142486.4
"JOBSI0R","12","2018",105040.7
"JOBSI0R","13","2018",33652.27
"JOBSI0R","14","2018",9260.832
"JOBSI0R","1","2019",38254.9
"JOBSI0R","2","2019",341395.8
"JOBSI0R","3","2019",2086479
"JOBSI0R","4","2019",402129
"JOBSI0R","5","2019",17865.12
"JOBSI0R","6","2019",20086.77
"JOBSI0R","7","2019",75572.64
"JOBSI0R","8","2019",23683.25
"JOBSI0R","9","2019",57741.96
"JOBSI0R","10","2019",56317.01
"JOBSI0R","11","2019",144431.8
"JOBSI0R","12","2019",107162.4
"JOBSI0R","13","2019",33985.49
"JOBSI0R","14","2019",9325.995
